,address,district
0,"город Москва, улица Егора Абакумова, дом 9",Ярославский
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Таганский
2,"город Москва, Абельмановская улица, дом 6",Таганский
3,"город Москва, Абрамцевская улица, дом 1",Лианозово
4,"город Москва, Абрамцевская улица, дом 9, корпус 1",Лианозово
5,"город Москва, Абрамцевская улица, дом 15, корпус 1",Лианозово
6,"город Москва, переулок Сивцев Вражек, дом 6/2",Арбат
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Лефортово
8,"город Москва, Авиамоторная улица, дом 8, строение 1",Лефортово
9,"город Москва, Авиамоторная улица, дом 8, строение 1",Лефортово
